LOCATION,MINUTES
Hemingway Rd between 201 - 204 St,2065
Hemingway Rd between 204 - 201 St,2887
Hemingway Rd between 59 Ave - Hardy Point,403
Hemingway Rd between Hardy Point - 59 Ave,923
Hermitage Rd between 40 St - 127 Ave,3107
Hermitage Rd between Henry Ave - 40 St,1589
Hermitage Rd between Homestead Cr - Henry Ave,13969
Hermitage Rd between Huffman Cr - Hunt Rd,956
Hermitage Rd between Hunt Rd - Huffman Cr,405
Jasper Ave between 87 - 90 St,903
Kingsway Ave btwn Princess Eliz Ave-Airport Rd,655
Kirkness Rd between 148 Ave - 31 St,360
Kirkness Rd between 31 St - 148 Ave,210
Knottwood Rd S between 75 - 77 St,93
Knottwood Rd S between 77 - 75 St,77
Lakewood Rd N between 82 - 85 St,672
Lakewood Rd N between 85 - 82 St,797
Lakewood Rd S between 79 - 81 St,213
Lakewood Rd S between 81 - 79 St,213
Leger Way between Leger Court - Leger Blvd,92
MacTaggart Dr between Maynard Way - May Rd,736
McLeod Rd between 57 - 59 St,105
McLeod Rd between 59 - 57 St,295
McQueen Rd between 142 - 146 St,369
McQueen Rd between 146 -142 St,120
Meadowlark Rd between 90 - 88A Ave,9527
Mill Woods Rd S between 74 - 80 St,1114
Mill Woods Rd S between 80 - 74 St,2717
Millbourne Rd E between 36A Ave - Lee Ridge Rd,580
Millbourne Rd E between Lee Ridge Rd - 36A Ave,585
Millbourne Rd W between 40 - 42 Ave,1912
Millbourne Rd W between 42 - 40 Ave,401
Millwoods Rd between 23 - 28 Ave,1601
Millwoods Rd between 28 - 23 Ave,217
Millwoods Rd between 28 Ave - Lakewood Rd N,13392
Millwoods Rd between 38A Ave - Millbourne Rd W,405
Millwoods Rd between 85 St - 38A Ave,1671
Millwoods Rd between 91 - 87 St,272
Millwoods Rd between Lakewood Rd N - 28 Ave,10428
Millwoods Rd E between 17 - 18 Ave,5527
Millwoods Rd E between 18 - 17 Ave,1471
Millwoods Rd E between 36 - 38 Ave,422
Millwoods Rd S between 54 - 62 St,1435
Millwoods Rd S between 62 - 54 St,256
Millwoods Rd S between 69 St - Knottwood Rd E,7367
Millwoods Rd S between Knottwood Rd E - 69 St,16905
Ottewell Rd between 92A - 93A Ave,782
Ottewell Rd between 93A - 92 Ave,1287
Ottewell Rd between 93A - 94B Avenue,1207
Ottewell Rd between 94B - 94 Ave,1461
Ottewell Rd between 95 - 96A Ave,3512
Ottewell Rd between 96A - 95 Ave,390
Rabbit Hill Rd NW btn Carter Crest Rd-Leger Blv,224
Rabbit Hill Rd NW btwn Leger Blvd - Oakes Gate,228
Riverbend Rd between 43 - 45 Ave,14010
Riverbend Rd between 53 - 56 Ave,4571
Riverbend Rd between 56 - 53 Ave,2626
Rutherford Rd btwn 17A Ave - Rutherford Pt SW,302
Rutherford Rd btwn Rutherford Pt - 17A Ave SW,151
Rutherford Rd SW btwn 14 - 15 Ave SW,150
Saddleback Rd between 25 - 27 Ave,4418
Saddleback Rd between 27 - 25 Ave,3720
Saddleback Rd between 27 Ave - 112 St,364
Sask Dr between 87 - University Ave,41035
Sask. Drive between 107 - 105 St,31461
Savaryn Dr SW between 88 - 89 St SW,163
Savaryn Dr SW between 89B - 88 St SW,225
Scona Rd between 95A - 94 Ave,1884
St Albert Tr between 134 - 132 Ave,13345
Stony Plain Rd at 133 St,42725
Stony Plain Rd between 178 - 182 St,61391
Stony Plain Rd Between 180 - 182 St,12700
Summerside Dr SW btn Shepard Ct-Summerside Gate,2353
Summerside Dr SW btwn Summerside Cove-88 St SW,445
Tamarack Green between 13 St - Tamarack Rd,182
Towne Ctr Blvd btwn Tomlinson Way-Tompkins Wynd,5347
Towne Ctre Blvd btwn Taylor Green-Taylor Cove,4145
Univ. Ave. btwn Sask. Dr - 115A St.,1230
Victoria Tr between 144 - 151 Ave,360
Watt Blvd between 13 - 11 Ave SW,640
Watt Blvd SW between 13 - 11 Ave SW,105
Wayne Gretzky Dr btwn Capilano Bridge-106 Ave,2160
Wayne Gretzky Dr. - 106 Ave - Capilano Bridge,315
Whitemud Dr at 111 St,13994
Whitemud Dr at Rainbow Valley Bridge,210
Whitemud Dr between 50 - 75 St,27035
Whitemud Dr between 53 Ave - Fox Dr,871
Whitemud Dr between 76 - 66 St,24505
Whitemud Dr between 91 - 99 St,38305
Whitemud Dr between Fox Dr - 53 Ave,1595
Whitemud Dr between North Sask River - 149 St,390
Whitemud Dr east of 106 St,3676
Whitemud Dr west of 91 St,180
Whitemud Dr. @ Quesnell Bridge,180
Windermere Rd btn Whitelaw Lane-Windermere Bvd,1708
Woodvale Rd W between 58 - 60 St,218
Woodvale Rd W between 60 - 58 St,90
Yellowhead Tr at 7710  Yellowhead Tr,13973
Yellowhead Tr at 7710 Yellowhead Tr,57697
Yellowhead Tr at 9320 Yellowhead Tr,26473
Yellowhead Tr btwn 121 - 107 St,6158
Yellowhead Tr west of Victoria Tr,180
Yellowhead Trail @ Anthony Henday Dr,43507
Yellowhead Trail at 215 St,34418
Yellowhead Trail at 50 St,2083
